,driverId,forename,surname,code,number,raceId,year,round,circuitId,name,date,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,time_x,time_y,lap,position
37,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:56.445,38,1
38,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:32.608,39,1
39,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.589,40,1
40,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:35.290,41,1
41,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:34.667,42,1
42,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:34.151,43,1
43,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:34.531,44,1
44,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:34.249,45,1
45,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:34.193,46,1
46,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:34.239,47,1
47,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:34.350,48,1
48,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:34.403,49,1
49,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:34.783,50,1
50,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:34.340,51,1
51,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:34.906,52,1
52,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:35.600,53,1
53,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:35.334,54,1
54,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:35.184,55,1
55,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:34.671,56,1
56,830,Max,Verstappen,VER,33,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:34.923,57,1
57,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:38.271,1,2
58,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.862,2,2
59,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:38.062,3,3
60,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:37.752,4,3
61,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:38.131,5,3
62,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:37.782,6,3
63,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:38.957,7,4
64,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:38.136,8,4
65,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:37.844,9,4
66,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:37.884,10,4
67,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:41.737,11,6
68,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:57.471,12,13
69,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.432,13,9
70,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.756,14,8
71,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.813,15,6
72,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.673,16,4
73,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:37.302,17,5
74,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:37.438,18,5
